,word,frequency
0,แล้,3
1,ับ,3
2,คมนาคม,2
3,ไลว,1
4,ี่เต็น,1
5,จากกัน,1
6,มัทำ,1
7,นักกะ,1
8,เป็นจริง,1
9,ยยน,1
10,ซลแยน,1
11,ชีวภาพ,1
12,ฮสอม,1
13,ขนส่ง,1
14,นเคื่อน,1
15,อยากได้,1
16,เสล,1
17,ื้วออ,1
18,ตวัลค์ล,1
19,แฟรงก์,1
